Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km)
STARLINK-32362,2026-06-08T18:07:23Z,-9666.631662924297,279.7371853154106,41.667551430412935,50912131974.72969
STARLINK-32362,2026-06-08T18:07:24Z,-9642.171064385258,279.06365366412547,41.95462796629697,50910343684.820015
STARLINK-32362,2026-06-08T18:07:27Z,-9619.720860687807,269.31643467021684,45.43548212299048,50894639496.67694
STARLINK-32362,2026-06-08T18:07:27Z,-9212.715827789876,269.31643467021684,45.43548212299048,50894639496.67694
STARLINK-32362,2026-06-08T18:07:28Z,-9768.036080684005,280.00729386607503,41.53991203779422,50912880621.51636
STARLINK-32362,2026-06-08T18:07:28Z,-9677.823104173,280.00729386607503,41.53991203779422,50912880621.51636
STARLINK-32362,2026-06-08T18:07:29Z,-9094.475095559705,267.00717353442093,46.084364972174185,50893350221.620155
STARLINK-32362,2026-06-08T18:07:32Z,-9602.626981658837,282.87793603625994,40.217630728578236,50921857697.99275
STARLINK-32362,2026-06-08T18:07:32Z,-9773.391468833473,282.87793603625994,40.217630728578236,50921857697.99275
STARLINK-32362,2026-06-08T18:07:33Z,-9659.392148917652,279.4579259926535,41.76872244592903,50911386880.94324
STARLINK-32362,2026-06-08T18:07:34Z,-9685.96877300977,249.64513463114247,49.18600083747147,50906119468.79188
STARLINK-32362,2026-06-08T18:07:34Z,-8046.291322882677,249.64513463114247,49.18600083747147,50906119468.79188
STARLINK-32362,2026-06-08T18:07:35Z,-8409.918261671997,255.1975282608861,48.51060312659466,50898190924.361984
STARLINK-32362,2026-06-08T18:07:36Z,-8738.25789831052,265.68374952539205,46.41518653755364,50893052466.78585
STARLINK-32362,2026-06-08T18:07:36Z,-9026.49157373179,265.68374952539205,46.41518653755364,50893052466.78585
STARLINK-32362,2026-06-08T18:07:37Z,-9279.120228521804,270.5872597188739,45.028183441602245,50895804419.65501
STARLINK-32362,2026-06-08T18:07:38Z,-9494.362108469793,280.4125328331166,41.342775800719735,50914029941.2418
STARLINK-32362,2026-06-08T18:07:38Z,-9694.900166590625,280.4125328331166,41.342775800719735,50914029941.2418
STARLINK-32362,2026-06-08T18:07:39Z,-9742.013696715569,281.81432940534216,40.70678427739432,50918290105.33139
STARLINK-32362,2026-06-08T18:07:40Z,-8896.653140222234,278.33547737804605,42.2266411573713,50908554196.627235
STARLINK-32362,2026-06-08T18:07:40Z,-9619.620552955115,278.33547737804605,42.2266411573713,50908554196.627235
STARLINK-32362,2026-06-08T18:07:42Z,-9470.43260864262,274.682424308431,43.637898100985744,50901152398.85715
STARLINK-32362,2026-06-08T18:07:43Z,-9650.72260294503,280.5945647345658,41.251918345553634,50914555773.66114
STARLINK-32362,2026-06-08T18:07:43Z,-9702.69365740749,280.5945647345658,41.251918345553634,50914555773.66114
STARLINK-32362,2026-06-08T18:07:44Z,-9139.068981701826,267.75564100109403,45.84640006766629,50893851854.51904
STARLINK-32362,2026-06-08T18:07:45Z,-9374.161563892581,277.0765227291401,42.72440549777963,50905708654.865204
STARLINK-32362,2026-06-08T18:07:45Z,-9571.859581507644,277.0765227291401,42.72440549777963,50905708654.865204
STARLINK-32362,2026-06-08T18:07:46Z,-9730.61659923511,281.4024766844687,40.88261274492071,50916982459.0749
STARLINK-32362,2026-06-08T18:07:47Z,-8158.927991087687,256.72266366751535,48.245650209534574,50896862217.05626
STARLINK-32362,2026-06-08T18:07:47Z,-8510.231764260407,256.72266366751535,48.245650209534574,50896862217.05626
