Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours),Timestamp
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:19.499111,79076.53961552819,38.548951480966345,225.5096908677707,740.475783997238,14.580510303611112,2026-06-12 20:51:19.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:20.499111,76721.58185334768,38.69645484942595,224.8440130850912,738.4581596256468,14.580510303611112,2026-06-12 20:51:20.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:21.499111,74347.4518270934,38.84046663566532,224.17198449499563,736.5017778065411,14.580510303611112,2026-06-12 20:51:21.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:22.499111,71954.54491717421,38.98086898318408,223.49370238104407,734.6071300270669,14.580510303611112,2026-06-12 20:51:22.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:23.499111,69543.27754302775,39.11754474057874,222.8092728726021,732.7746972612163,14.580510303611112,2026-06-12 20:51:23.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:24.499111,67114.08708296999,39.25037770045496,222.1188110643846,731.0049494261937,14.580510303611112,2026-06-12 20:51:24.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:25.499111,64667.43174484015,39.37925284489109,221.4224411116637,729.298344840904,14.580510303611112,2026-06-12 20:51:25.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:26.499111,62203.79038710572,39.5040565965988,220.72029629958385,727.6553296889798,14.580510303611112,2026-06-12 20:51:26.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:27.499111,59723.6622885949,39.62467707501773,220.01251908461737,726.0763374864667,14.580510303611112,2026-06-12 20:51:27.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:28.499111,57227.5668664782,39.74100435632623,219.29926110664888,724.5617885566111,14.580510303611112,2026-06-12 20:51:28.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:29.499111,54716.04334238129,39.85293073640678,218.5806831703021,723.1120895126587,14.580510303611112,2026-06-12 20:51:29.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:30.499111,52189.65035488303,39.96035099573837,217.8569551937356,721.7276327495155,14.580510303611112,2026-06-12 20:51:30.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:31.499111,49648.965519395264,40.06316266501469,217.12825612400928,720.4087959464991,14.580510303611112,2026-06-12 20:51:31.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:32.499111,47094.58493570753,40.16126629030794,216.39477381803516,719.1559415824717,14.580510303611112,2026-06-12 20:51:32.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:33.499111,44527.122641694856,40.254565696640505,215.65670488773628,717.9694164634607,14.580510303611112,2026-06-12 20:51:33.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:34.499111,41947.2100162744,40.34296824851828,214.9142545095207,716.8495512662398,14.580510303611112,2026-06-12 20:51:34.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:35.499111,39355.495130199306,40.42638510628163,214.16763619702985,715.7966600970833,14.580510303611112,2026-06-12 20:51:35.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:36.499111,36752.64204722362,40.50473147681054,213.4170715374593,714.8110400686118,14.580510303611112,2026-06-12 20:51:36.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:37.499111,34139.330076319566,40.577926857325245,212.66278989139167,713.8929708949411,14.580510303611112,2026-06-12 20:51:37.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:38.499111,31516.25297683197,40.64589527084253,211.9050280566629,713.0427145075291,14.580510303611112,2026-06-12 20:51:38.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:39.499111,28884.1181177366,40.70856549211094,211.1440298967423,712.2605146908811,14.580510303611112,2026-06-12 20:51:39.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:40.499111,26243.645594532863,40.76587126246336,210.3800459350929,711.546596742374,14.580510303611112,2026-06-12 20:51:40.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:41.499111,23595.5673042042,40.81775149260618,209.6133329162053,710.9011671536559,14.580510303611112,2026-06-12 20:51:41.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:42.499111,20940.625982585043,40.86415045183233,208.84415333546104,710.3244133180142,14.580510303611112,2026-06-12 20:51:42.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:43.499111,18279.574205371027,40.90501794273033,208.0727749392082,709.816503261841,14.580510303611112,2026-06-12 20:51:43.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:44.499111,15613.173357963826,40.9403094600413,207.29947019788943,709.3775854040217,14.580510303611112,2026-06-12 20:51:44.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:45.499111,12942.192573730415,40.969986332954,206.5245157535288,709.0077883404297,14.580510303611112,2026-06-12 20:51:45.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:46.499111,10267.40764846725,40.99401584961597,205.7481918455773,708.7072206578918,14.580510303611112,2026-06-12 20:51:46.499111
