Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km),Timestamp
STARLINK-30776,2026-06-08T18:12:12Z,-162484.40395626827,87.13890630961339,50.56468576664839,708.7035546720205,2026-06-08 18:12:12+00:00
STARLINK-30776,2026-06-08T18:12:13Z,-164104.72988866392,87.108226181607,50.09396745888915,712.935873059309,2026-06-08 18:12:13+00:00
STARLINK-30776,2026-06-08T18:12:14Z,-165696.1368779473,87.0785858358761,49.62846913875384,717.2098113061845,2026-06-08 18:12:14+00:00
STARLINK-30776,2026-06-08T18:12:15Z,-167259.0331869927,87.0499376486393,49.16814835400192,721.5246251447044,2026-06-08 18:12:15+00:00
STARLINK-30776,2026-06-08T18:12:16Z,-168793.83108949734,87.02223685928058,48.712961273589634,725.8795810626652,2026-06-08 18:12:16+00:00
STARLINK-30776,2026-06-08T18:12:17Z,-170300.9460067703,86.9954413600659,48.26286282988459,730.2739561249631,2026-06-08 18:12:17+00:00
STARLINK-30776,2026-06-08T18:12:18Z,-171780.79585005276,86.96951150150103,47.81780680823981,734.7070382255965,2026-06-08 18:12:18+00:00
STARLINK-30776,2026-06-08T18:12:19Z,-173233.80034794786,86.94440991541508,47.377745948301005,739.1781261777102,2026-06-08 18:12:19+00:00
STARLINK-30776,2026-06-08T18:12:20Z,-174660.380372201,86.9201013537672,46.94263205354746,743.6865296575621,2026-06-08 18:12:20+00:00
STARLINK-30776,2026-06-08T18:12:21Z,-176060.95734570315,86.89655254027652,46.51241608356007,748.2315692583559,2026-06-08 18:12:21+00:00
STARLINK-30776,2026-06-08T18:12:22Z,-177435.95267712142,86.87373203449658,46.08704824534102,752.8125764964269,2026-06-08 18:12:22+00:00
STARLINK-30776,2026-06-08T18:12:23Z,-178785.7872232288,86.85161010712523,45.66647808321907,757.4288937720817,2026-06-08 18:12:23+00:00
STARLINK-30776,2026-06-08T18:12:24Z,-180110.88083321985,86.83015862461143,45.25065455007365,762.0798744778584,2026-06-08 18:12:24+00:00
STARLINK-30776,2026-06-08T18:12:25Z,-181411.65185139564,86.80935094410424,44.83952609804598,766.7648828386193,2026-06-08 18:12:25+00:00
STARLINK-30776,2026-06-08T18:12:26Z,-182688.51665609205,86.78916181658838,44.43304076473181,771.4832937321536,2026-06-08 18:12:26+00:00
STARLINK-30776,2026-06-08T18:12:27Z,-183941.88937367548,86.76956729533103,44.03114620981204,776.2344930300457,2026-06-08 18:12:27+00:00
STARLINK-30776,2026-06-08T18:12:28Z,-185172.1814056805,86.75054465457863,43.6337898168106,781.0178771369623,2026-06-08 18:12:28+00:00
STARLINK-30776,2026-06-08T18:12:29Z,-186379.8011558633,86.73207231184855,43.24091873688081,785.8328531484275,2026-06-08 18:12:29+00:00
STARLINK-30776,2026-06-08T18:12:30Z,-187565.1537284286,86.71412975682958,42.852479946747046,790.6788388042603,2026-06-08 18:12:30+00:00
STARLINK-30776,2026-06-08T18:12:31Z,-188728.6405713251,86.6966974867147,42.4684203300568,795.5552620943907,2026-06-08 18:12:31+00:00
STARLINK-30776,2026-06-08T18:12:32Z,-189870.65931072293,86.67975694381676,42.08868670105836,800.4615615340713,2026-06-08 18:12:32+00:00
STARLINK-30776,2026-06-08T18:12:33Z,-190991.60343626785,86.66329046015521,41.713225881940765,805.3971857197702,2026-06-08 18:12:33+00:00
STARLINK-30776,2026-06-08T18:12:34Z,-192091.86216999643,86.64728120367317,41.3419847237345,810.3615935631101,2026-06-08 18:12:34+00:00
STARLINK-30776,2026-06-08T18:12:35Z,-193171.82023584,86.63171312993043,40.9749101642917,815.3542540071847,2026-06-08 18:12:35+00:00
